S&P/ASX 200 Index (1 August 2018),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
GNC,Graincorp Limited Class A,Consumer Staples,"1,695,820,000",0.09,,,
GXL,Greencross Limited,Consumer Discretionary,"511,090,000",0.03,,,
GOZ,Growthpoint Property Unit/ Stapled Securities,Real Estate,"2,519,180,000",0.14,,,
GWA,GWA Group Limited,Industrials,"863,109,000",0.05,,,
HVN,Harvey Norman,Consumer Discretionary,"3,955,370,000",0.22,,,
HSO,Healthscope Limited,Health Care,"3,792,550,000",0.21,,,
IEL,Idp Education Limited,Consumer Discretionary,"2,447,880,000",0.13,,,
ILU,Iluka Resources,Materials,"4,832,380,000",0.27,,,
IPL,Incitec Pivot,Materials,"6,235,220,000",0.34,,,
IGO,Independence Group,Materials,"2,656,370,000",0.15,,,
IFN,Infigen Energy Stapled Securities FP,Utilities,"624,909,000",0.03,,,
ING,Inghams Group,Consumer Staples,"1,395,490,000",0.08,,,
IAG,Insurance Australia,Financials,"19,034,900,000",1.05,,,
IOF,Investa Office Fund Stapled Securities,Real Estate,"3,087,840,000",0.17,,,
IVC,Invocare Limited,Consumer Discretionary,"1,560,230,000",0.09,,,
IFL,IOOF Holdings Limited,Financials,"3,212,350,000",0.18,,,
IPH,IPH Limited,Industrials,"966,974,000",0.05,,,
IRE,Iress Limited,Information Technology,"2,001,510,000",0.11,,,
JHG,Janus Henderson Chess Depositary Interests,Financials,"3,280,530,000",0.18,,,
JBH,JB Hi-Fi Limited,Consumer Discretionary,"2,739,970,000",0.15,,,
A2M,The a2 Milk Company,Consumer Staples,"7,008,380,000",0.39,,,
JHX,James Hardie Indust Chess Depositary Interests 1:1,Materials,"9,492,770,000",0.52,,,
LLC,Lendlease Group Unit/ Stapled Securities,Real Estate,"11,559,900,000",0.64,,,
LNK,Link Admin HLDG,Information Technology,"4,066,890,000",0.22,,,
LYC,Lynas Corporation,Materials,"1,503,980,000",0.08,,,
MFG,Magellan Fin Group Limited,Financials,"4,348,890,000",0.24,,,
MGR,Mirvac Group Stapled Securities,Real Estate,"8,457,910,000",0.46,,,
